year,variable,value,question,N,low,pct,upp
2008,ofthang,Yes,jobop,3903,0.55333093788267,0.571337263272843,0.589343588663015
2009,ofthang,No,eqpay,917,0.66879155447492,0.703578783011946,0.738366011548972
2009,ofthang,No,jobop,917,0.581825684007196,0.619456181343821,0.657086678680445
2009,ofthang,Yes,eqpay,3837,0.701955774334802,0.719365188405853,0.736774602476904
2009,ofthang,Yes,jobop,3837,0.587412471400344,0.605967780904369,0.624523090408393
2010,ofthang,No,eqpay,944,0.676582744476518,0.71041293969944,0.744243134922363
2010,ofthang,No,jobop,944,0.549771611822232,0.586151809436939,0.622532007051646
2010,ofthang,Yes,eqpay,3872,0.688189045001139,0.704732176538261,0.721275308075383
2010,ofthang,Yes,jobop,3872,0.532987641403474,0.551074058981442,0.56916047655941
2011,ofthang,No,eqpay,1116,0.682306837040759,0.712640622785003,0.742974408529246
2011,ofthang,No,jobop,1116,0.556658440162249,0.589524849553261,0.622391258944274
2011,ofthang,Yes,eqpay,3932,0.674072476097104,0.690752480331878,0.707432484566652
2011,ofthang,Yes,jobop,3932,0.540978658568452,0.558904720555706,0.576830782542961
2012,ofthang,No,eqpay,1099,0.685978818094156,0.716605847580685,0.747232877067214
2012,ofthang,No,jobop,1099,0.544215268937557,0.578029849082486,0.611844429227415
2012,ofthang,Yes,eqpay,3691,0.696559615127702,0.713319051748473,0.730078488369243
2012,ofthang,Yes,jobop,3691,0.528318430504726,0.5469691187038,0.565619806902875
2013,ofthang,No,eqpay,1168,0.683321654291093,0.713373103454364,0.743424552617636
2013,ofthang,No,jobop,1168,0.54667338731391,0.57932635771198,0.611979328110049
2013,ofthang,Yes,eqpay,3159,0.676490702452921,0.695425230579441,0.71435975870596
2013,ofthang,Yes,jobop,3159,0.51917020381278,0.539354679791317,0.559539155769854
2014,ofthang,No,eqpay,1238,0.715507174710214,0.744021108809648,0.772535042909083
2014,ofthang,No,jobop,1238,0.58295275498301,0.615039858805383,0.647126962627756
2014,ofthang,Yes,eqpay,3163,0.69743932105807,0.716000688330584,0.734562055603098
